Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
25.02.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26.02.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27.02.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28.02.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29.02.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0
01.03.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0
02.03.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0
03.03.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04.03.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0
05.03.20,,,,,,,,,,,,,,,,,,,,,,,,,,,0
06.03.20,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
07.03.20,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
08.03.20,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2
09.03.20,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,3
10.03.20,,,,,1,,,2,,,,,,,,,,,,,1,,1,,,,5
11.03.20,,,,,2,,,2,,,,,,,,,,,,,,,1,,,,6
12.03.20,,,,,2,1,,2,,,,,,,,,,,,,,,1,,,,7
13.03.20,,,,,2,1,,2,,,,,,,,,,,,,,,2,,,,8
14.03.20,,,,,2,1,,2,,,,,,,,,,,,,3,,3,1,,,12
15.03.20,,,,,2,,,4,,,,,,,,,,,,,6,,4,1,,,18
16.03.20,,,,1,2,4,,4,,,,,,,,,,,,,8,,5,2,,1,27
17.03.20,,,,,2,4,,4,,,,,1,,,,,,,,10,,5,3,,,31
18.03.20,,,,1,2,4,1,6,,1,,,2,,,,,,,,14,,5,3,,,40
19.03.20,,,,1,2,4,1,6,,1,,,3,,,,,,,,15,,7,4,,3,47
20.03.20,1,,,2,3,4,1,8,,3,,,3,,,,,,,,22,,12,6,,3,68
21.03.20,,,1,3,3,5,2,9,,3,,1,4,,,,,,,,28,,15,7,,,85
22.03.20,1,,,,3,5,3,10,,6,,1,4,,,,,,,,37,,16,10,,,103
23.03.20,1,,1,5,3,5,4,10,,,,1,5,,,1,,1,,,48,,25,12,,5,133
24.03.20,2,,2,6,4,5,5,13,,6,,2,6,,,,,1,,1,53,,29,13,,5,154
25.03.20,2,,2,6,5,8,6,16,,6,,2,9,,,1,,1,,1,60,,36,14,,7,182
26.03.20,2,,2,7,5,12,11,22,,9,,3,11,,,2,,1,1,1,67,,47,15,,9,227
27.03.20,3,,2,8,5,13,15,23,,9,,3,12,,,,,1,1,2,76,,48,20,1,11,255
28.03.20,,,2,9,6,13,15,27,1,,,4,14,,,5,,1,2,2,87,,55,21,,15,292
29.03.20,,,2,10,6,15,16,37,,,,5,17,,,5,,2,2,2,93,,66,21,,15,328
30.03.20,8,,2,13,7,15,17,43,1,12,,6,19,,,5,,,2,2,105,,77,26,1,21,384
31.03.20,11,,2,16,10,16,20,52,2,19,,7,21,,,7,,2,4,3,120,,84,35,1,25,457
01.04.20,11,,3,20,11,18,23,65,2,21,,7,23,,,7,1,3,4,4,132,1,92,37,1,29,515
02.04.20,12,,3,23,12,19,26,72,2,23,,7,,,,8,1,3,4,4,141,1,107,40,1,36,568
03.04.20,12,,3,26,14,21,31,,2,27,,7,,,,8,,3,4,5,155,1,,45,2,38,607
04.04.20,,,,,,,,,,,,,,,,,,,,,,,,,,,607
